,RUNE,SOL,PENDLE,BTC,ETH,USDC
best_params_short_window,2.0,4.0,10.0,2.0,10.0,2.0
best_params_long_window,8.0,8.0,8.0,8.0,8.0,16.0
best_params_threshold_multiplier,0.0,0.0,0.005,0.0,0.0,0.0
best_params_stop_loss_multiplier,0.005,0.005,0.005,0.005,0.005,0.005
best_params_take_profit_multiplier,0.01,0.01,0.01,0.01,0.01,0.01
best_params_trailing_stop_pct,0.005,0.005,0.005,0.005,0.005,0.005
best_params_momentum_window,20.0,5.0,5.0,10.0,20.0,5.0
best_params_rsi_threshold_long,60.0,55.0,60.0,50.0,65.0,50.0
best_params_rsi_threshold_short,45.0,45.0,35.0,50.0,45.0,50.0
best_params_volume_multiplier,0.2,0.2,0.2,0.6,1.0,0.2
total_return,0.12962547655554424,0.02476713327870117,0.036949058600108,0.01435756996235682,0.009074007790328853,0.00019998000349930045
max_drawdown,0.011459618207479203,0.006667569427050099,0.0096561081277738,0.0016547362216466739,0.00105279487842256,0.0
sharpe_ratio,3.7777974769458433,2.031963927438339,2.7960522363717963,3.304336508735322,3.6092059917064545,1.6035674411689906
win_loss_ratio,1.4383561643835616,0.968944099378882,1.0136986301369864,0.92,3.0,0.2857142857142857
num_trades,178.0,317.0,147.0,288.0,20.0,9.0
